Drug_Name,Category,Dosage_Form,Strength,Manufacturer,Indication,Classification
Aspirin,Sleep Aid,Spray,325mg,Johnson & Johnson,Motion sickness and nausea,Over-the-Counter
Oxycodone,Anticonvulsant,IV Infusion,500mg,Eli Lilly,Hypertension management,Prescription
Atorvastatin,Diuretic,Inhaler,250mg,AstraZeneca,Moderate to severe pain management,Prescription
Dextromethorphan,Skin Protectant,Chewable Tablet,5%,Unilever,Minor pain and itching relief,Over-the-Counter
Naproxen,Topical Antibiotic,Powder,25mg,Bayer,Heartburn and acid reflux,Over-the-Counter
Dexamethasone,Anticonvulsant,Suppository,250mg,Eli Lilly,GERD and peptic ulcer disease,Prescription
Diphenhydramine,Antacid/PPI,Ointment,100mg,Prestige Brands,Cough suppression,Over-the-Counter
Clopidogrel,Antiplatelet,Extended Release Tablet,100mg,Gilead Sciences,Hypertension management,Prescription
Trimethoprim,Anticonvulsant,Suppository,50mg,Boehringer Ingelheim,Depression and anxiety disorders,Prescription
Aluminum Hydroxide,Expectorant,Drops,125mg,Chattem,Skin inflammation and itching,Over-the-Counter
Lisinopril,Anxiolytic/Benzodiazepine,Injection,100mcg,Amgen,Blood clot prevention,Prescription
Pseudoephedrine,Acne Treatment,Lozenge,2%,P&G,Acne treatment,Over-the-Counter
Neosporin,Acne Treatment,Powder,200mg,Reckitt,Gas and bloating relief,Over-the-Counter
Naproxen,Sleep Aid,Ointment,50mg,Reckitt,Heartburn and acid reflux,Over-the-Counter
Pseudoephedrine,Topical Anesthetic,Spray,500mg,Chattem,Minor cuts and skin protection,Over-the-Counter
Metoprolol,Antiplatelet,Nasal Spray,2mg,Eli Lilly,Hypothyroidism treatment,Prescription
Docusate Sodium,Antifungal,Chewable Tablet,1%,3M Healthcare,GERD and peptic ulcer,Over-the-Counter
Ciprofloxacin,ACE Inhibitor,Patch,1000mg,Merck,Moderate to severe pain management,Prescription
Azithromycin,Antibiotic,Suppository,200mcg,Gilead Sciences,Asthma and allergic rhinitis,Prescription
Pseudoephedrine,Antacid/H2 Blocker,Powder,150mg,Johnson & Johnson,Skin inflammation and itching,Over-the-Counter
Amlodipine,Antibiotic,Liquid,150mg,Gilead Sciences,Inflammation and autoimmune disorders,Prescription
Acetaminophen,Antifungal,Spray,5mg,3M Healthcare,Acne treatment,Over-the-Counter
Gabapentin,Diuretic,Topical Solution,10mg,Pfizer,Depression and anxiety disorders,Prescription
Ibuprofen,Antiplatelet,Capsule,150mg,Prestige Brands,Constipation relief,Over-the-Counter
Albuterol,Anticonvulsant,Extended Release Tablet,500mg,Gilead Sciences,Bacterial infections treatment,Prescription
Clotrimazole,Antidiarrheal,Patch,125mg,Novartis,Constipation relief,Over-the-Counter
Benzoyl Peroxide,Antifungal,Gel,125mg,Sanofi,Heartburn and indigestion,Over-the-Counter
Guaifenesin,Analgesic,Cream,325mg,Unilever,Insomnia and sleep aid,Over-the-Counter
Ciprofloxacin,Antifungal,Sublingual Tablet,200mcg,Eli Lilly,Hypertension and heart failure,Prescription
Alprazolam,Corticosteroid,Tablet,0.25mg,Eli Lilly,Hypertension and heart failure,Prescription
Levothyroxine,Antidepressant/SSRI,Patch,50mcg,Boehringer Ingelheim,Fungal infections treatment,Prescription
Azithromycin,Antidiabetic,Suppository,400mcg,Amgen,Hypertension management,Prescription
Montelukast,Antibiotic,Capsule,0.5mg,Bristol-Myers Squibb,Inflammation and autoimmune disorders,Prescription
Magnesium Hydroxide,Laxative,Powder,400mg,Bayer,Acne treatment,Over-the-Counter
Lidocaine Cream,Sleep Aid,Tablet,50mg,Prestige Brands,Heartburn and acid reflux,Over-the-Counter
Benzoyl Peroxide,Antihistamine,Patch,10mg,GSK,Chest congestion and mucus relief,Over-the-Counter
Levothyroxine,Antidiabetic,Sublingual Tablet,100mcg,Abbott,Depression and anxiety disorders,Prescription
Escitalopram,Bronchodilator,Liquid,25mg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Sertraline,Statin,Inhaler,0.5mg,Johnson & Johnson,Asthma and bronchospasm,Prescription
Metoprolol,Anticonvulsant,Capsule,75mg,Abbott,Hypertension and heart failure,Prescription
Aluminum Hydroxide,Acne Treatment,Lozenge,2%,Pfizer,Gas and bloating relief,Over-the-Counter
Levothyroxine,Thyroid Hormone,Extended Release Tablet,1mg,Amgen,High cholesterol management,Prescription
Clotrimazole,Cough Suppressant,Gel,325mg,3M Healthcare,Allergic rhinitis and hives,Over-the-Counter
Clindamycin,Antiplatelet,Capsule,400mcg,Sanofi,Fungal infections treatment,Prescription
Levothyroxine,ACE Inhibitor,Topical Solution,150mg,AstraZeneca,Type 2 diabetes management,Prescription
Diphenhydramine,Topical Antibiotic,Spray,150mg,3M Healthcare,Allergic rhinitis and hives,Over-the-Counter
Acetaminophen,Topical Corticosteroid,Lozenge,20mg,Chattem,Minor pain and itching relief,Over-the-Counter
Atorvastatin,Diuretic,Extended Release Tablet,100mcg,Sanofi,Hypertension and heart failure,Prescription
Prednisone,Statin,Capsule,2mg,Boehringer Ingelheim,Hypertension and heart failure,Prescription
Aspirin,Antihistamine,Patch,5%,Unilever,Minor wound infection prevention,Over-the-Counter
Gabapentin,Antibiotic,Inhaler,200mg,Novartis,Bacterial infections treatment,Prescription
Dexamethasone,Bronchodilator,Patch,200mcg,AstraZeneca,Hypertension management,Prescription
Magnesium Hydroxide,Antiplatelet,Tablet,250mg,Reckitt,Minor wound infection prevention,Over-the-Counter
Salicylic Acid,Skin Protectant,Tablet,1%,GSK,Minor wound infection prevention,Over-the-Counter
Losartan,Calcium Channel Blocker,Patch,200mg,GlaxoSmithKline,Anxiety and panic disorders,Prescription
Simethicone,Antiemetic,Gel,250mg,Prestige Brands,Constipation relief,Over-the-Counter
Clopidogrel,Anxiolytic/Benzodiazepine,IV Infusion,75mg,Abbott,Edema and hypertension,Prescription
Dextromethorphan,Antacid/H2 Blocker,Tablet,5%,Sanofi,Motion sickness and nausea,Over-the-Counter
Simethicone,Acne Treatment,Chewable Tablet,150mg,Unilever,Minor pain and itching relief,Over-the-Counter
Lidocaine Cream,Sleep Aid,Cream,150mg,Pfizer,Motion sickness and nausea,Over-the-Counter
Hydrocodone,Calcium Channel Blocker,Topical Solution,50mg,AstraZeneca,Hypertension and heart failure,Prescription
Lidocaine Cream,Topical Corticosteroid,Tablet,20mg,Prestige Brands,Pain relief and fever reduction,Over-the-Counter
Metronidazole,Thyroid Hormone,Inhaler,1000mg,Eli Lilly,Hypertension and angina,Prescription
Fluoxetine,Anticonvulsant,IV Infusion,200mcg,Gilead Sciences,Asthma and allergic rhinitis,Prescription
Ibuprofen,Topical Corticosteroid,Chewable Tablet,1%,Johnson & Johnson,Cough suppression,Over-the-Counter
Pseudoephedrine,Sleep Aid,Ointment,2%,3M Healthcare,Heartburn and indigestion,Over-the-Counter
Neosporin,Antihistamine,Tablet,5mg,Bayer,Fungal skin infections,Over-the-Counter
Aspirin,Topical Corticosteroid,Gel,2%,Prestige Brands,Minor pain and itching relief,Over-the-Counter
Fluoxetine,Antiplatelet,Injection,50mg,Roche,Hypertension and heart failure,Prescription
Bismuth Subsalicylate,Laxative,Gel,500mg,Pfizer,Gas and bloating relief,Over-the-Counter
Warfarin,Thyroid Hormone,IV Infusion,2mg,Bristol-Myers Squibb,Heart attack and stroke prevention,Prescription
Diphenhydramine,Antacid,Chewable Tablet,5%,Novartis,Cough suppression,Over-the-Counter
Ranitidine,Expectorant,Capsule,325mg,3M Healthcare,Insomnia and sleep aid,Over-the-Counter
Fluoxetine,Antidepressant/SSRI,Inhaler,150mg,Roche,Hypertension and heart failure,Prescription
Losartan,Antidiabetic,Patch,150mg,GlaxoSmithKline,Depression and anxiety disorders,Prescription
Prednisone,Anticoagulant,Patch,150mg,Roche,Hypothyroidism treatment,Prescription
Miconazole,Antiflatulent,Gel,5mg,Johnson & Johnson,GERD and peptic ulcer,Over-the-Counter
Doxycycline,PPI,Topical Solution,10mg,Eli Lilly,GERD and peptic ulcer disease,Prescription
Salicylic Acid,Antiemetic,Capsule,325mg,Chattem,Blood clot prevention,Over-the-Counter
Ciprofloxacin,Beta Blocker,Sublingual Tablet,100mg,Boehringer Ingelheim,Moderate to severe pain management,Prescription
Simethicone,Topical Antibiotic,Spray,500mg,P&G,Allergic rhinitis and hives,Over-the-Counter
Amlodipine,Diuretic,Inhaler,200mcg,Eli Lilly,Edema and hypertension,Prescription
Pregabalin,ARB,Inhaler,5mg,Eli Lilly,Heart attack and stroke prevention,Prescription
Salicylic Acid,Antihistamine,Ointment,200mg,GSK,Blood clot prevention,Over-the-Counter
Pregabalin,Anticoagulant,Injection,2mg,Boehringer Ingelheim,Moderate to severe pain management,Prescription
Prednisone,Leukotriene Inhibitor,Suppository,0.5mg,Novartis,Epilepsy and neuropathic pain,Prescription
Gabapentin,Statin,Nasal Spray,50mcg,AstraZeneca,Inflammation and autoimmune disorders,Prescription
Naproxen,Antifungal,Liquid,325mg,3M Healthcare,Diarrhea treatment,Over-the-Counter
Diphenhydramine,Laxative,Chewable Tablet,125mg,Bayer,Minor pain and itching relief,Over-the-Counter
Hydrocortisone Cream,Antacid,Tablet,100mg,Pfizer,Diarrhea treatment,Over-the-Counter
Atorvastatin,ACE Inhibitor,Nasal Spray,0.25mg,Gilead Sciences,Type 2 diabetes management,Prescription
Metformin,Opioid Analgesic,Injection,25mg,Boehringer Ingelheim,Blood clot prevention,Prescription
Calcium Carbonate,Decongestant,Drops,400mg,3M Healthcare,Motion sickness and nausea,Over-the-Counter
Dexamethasone,Thyroid Hormone,Liquid,1mg,Johnson & Johnson,Asthma and allergic rhinitis,Prescription
Losartan,Bronchodilator,IV Infusion,1000mg,Novartis,Edema and hypertension,Prescription
Fluoxetine,Calcium Channel Blocker,IV Infusion,1000mg,Merck,Fungal infections treatment,Prescription
Pregabalin,Bronchodilator,Extended Release Tablet,100mcg,Merck,Hypertension management,Prescription
Bismuth Subsalicylate,Decongestant,Spray,325mg,3M Healthcare,Allergic rhinitis and hives,Over-the-Counter
Dexamethasone,Antidiabetic,Capsule,5mg,Eli Lilly,Hypothyroidism treatment,Prescription
Meclizine,Antidiarrheal,Ointment,100mg,Novartis,Constipation relief,Over-the-Counter
Benzoyl Peroxide,Acne Treatment,Liquid,100mg,P&G,Allergic rhinitis and hives,Over-the-Counter
Famotidine,Topical Anesthetic,Capsule,100mg,Unilever,Blood clot prevention,Over-the-Counter
Amlodipine,Antiplatelet,Capsule,75mg,Roche,Moderate to severe pain management,Prescription
Cetirizine,Topical Anesthetic,Capsule,50mg,GSK,Cough suppression,Over-the-Counter
Cetirizine,Decongestant,Powder,10mg,Chattem,Pain relief and fever reduction,Over-the-Counter
Famotidine,Antiflatulent,Gel,150mg,Prestige Brands,Diarrhea treatment,Over-the-Counter
Albuterol,Anticonvulsant,Injection,25mg,Novartis,High cholesterol management,Prescription
Furosemide,Diuretic,Liquid,1mg,Amgen,Hypertension management,Prescription
Warfarin,Antibiotic,Sublingual Tablet,5mg,Pfizer,Fungal infections treatment,Prescription
Clotrimazole,Topical Anesthetic,Gel,400mg,GSK,Cough suppression,Over-the-Counter
Meclizine,Skin Protectant,Lozenge,400mg,Novartis,Gas and bloating relief,Over-the-Counter
Warfarin,Diuretic,Injection,50mcg,Amgen,Depression and anxiety disorders,Prescription
Albuterol,Anticonvulsant,Liquid,400mcg,Eli Lilly,Hypertension management,Prescription
Amoxicillin,Anticoagulant,Liquid,2mg,Bristol-Myers Squibb,Hypothyroidism treatment,Prescription
Cetirizine,Topical Antibiotic,Patch,100mg,Sanofi,Chest congestion and mucus relief,Over-the-Counter
Acetaminophen,Laxative,Liquid,125mg,Reckitt,Acne treatment,Over-the-Counter
Ibuprofen,Cough Suppressant,Patch,20mg,P&G,Insomnia and sleep aid,Over-the-Counter
Clindamycin,Bronchodilator,Sublingual Tablet,250mg,GlaxoSmithKline,Blood clot prevention,Prescription
Neosporin,Analgesic,Liquid,125mg,3M Healthcare,Minor wound infection prevention,Over-the-Counter
Furosemide,Diuretic,Extended Release Tablet,1000mg,Bristol-Myers Squibb,Epilepsy and neuropathic pain,Prescription
Albuterol,Leukotriene Inhibitor,Nasal Spray,5mg,GlaxoSmithKline,Heart attack and stroke prevention,Prescription
Famotidine,Antiflatulent,Chewable Tablet,25mg,P&G,Constipation relief,Over-the-Counter
Sertraline,Opioid Analgesic,Inhaler,200mcg,Amgen,Fungal infections treatment,Prescription
Salicylic Acid,Antihistamine,Gel,100mg,Pfizer,Minor pain and itching relief,Over-the-Counter
Trimethoprim,Diuretic,Injection,150mg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Doxycycline,Thyroid Hormone,Liquid,1000mg,Boehringer Ingelheim,High cholesterol management,Prescription
Clotrimazole,Antifungal,Ointment,50mg,Chattem,Minor wound infection prevention,Over-the-Counter
Pregabalin,Opioid Analgesic,Liquid,1mg,Eli Lilly,Hypertension and heart failure,Prescription
Miconazole,Topical Anesthetic,Patch,125mg,Bayer,Chest congestion and mucus relief,Over-the-Counter
Simethicone,Laxative,Gel,125mg,Novartis,Pain relief and fever reduction,Over-the-Counter
Metoprolol,Antibiotic,Extended Release Tablet,500mg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Docusate Sodium,Antiplatelet,Cream,2%,3M Healthcare,Cough suppression,Over-the-Counter
Ranitidine,Topical Antibiotic,Powder,20mg,Sanofi,Allergic rhinitis and hives,Over-the-Counter
Ranitidine,Decongestant,Powder,200mg,Reckitt,Heartburn and indigestion,Over-the-Counter
Prednisone,Antiplatelet,Liquid,100mcg,Boehringer Ingelheim,Bacterial infections treatment,Prescription
Naproxen,Decongestant,Tablet,500mg,3M Healthcare,Diarrhea treatment,Over-the-Counter
Cetirizine,Decongestant,Spray,10mg,Chattem,Minor wound infection prevention,Over-the-Counter
Neosporin,Antacid/H2 Blocker,Capsule,10mg,3M Healthcare,Cough suppression,Over-the-Counter
Calcium Carbonate,Antidiarrheal,Powder,5mg,Johnson & Johnson,Fungal skin infections,Over-the-Counter
Simethicone,Antihistamine,Lozenge,200mg,GSK,Fungal skin infections,Over-the-Counter
Alprazolam,Opioid Analgesic,Topical Solution,1mg,Pfizer,Depression and anxiety disorders,Prescription
Warfarin,Antifungal,Suppository,50mg,Pfizer,Heart attack and stroke prevention,Prescription
Diphenhydramine,Antacid/H2 Blocker,Ointment,2%,Reckitt,Nasal congestion relief,Over-the-Counter
Ibuprofen,Acne Treatment,Spray,125mg,Bayer,Heartburn and indigestion,Over-the-Counter
Metronidazole,Antiplatelet,Capsule,25mg,GlaxoSmithKline,Depression and anxiety disorders,Prescription
Magnesium Hydroxide,Antiemetic,Drops,100mg,Reckitt,Fungal skin infections,Over-the-Counter
Lisinopril,Antifungal,Extended Release Tablet,25mg,Amgen,GERD and peptic ulcer disease,Prescription
Hydrocortisone Cream,Topical Antibiotic,Spray,150mg,Novartis,Gas and bloating relief,Over-the-Counter
Amoxicillin,Leukotriene Inhibitor,Injection,0.25mg,Merck,Bacterial infections treatment,Prescription
Diphenhydramine,Topical Antibiotic,Liquid,10mg,Pfizer,Pain relief and fever reduction,Over-the-Counter
Loperamide,Antacid/PPI,Drops,25mg,Sanofi,Insomnia and sleep aid,Over-the-Counter
Warfarin,Statin,Liquid,250mg,Roche,Edema and hypertension,Prescription
Albuterol,ACE Inhibitor,IV Infusion,10mg,Novartis,Asthma and bronchospasm,Prescription
Furosemide,ARB,Topical Solution,2mg,Eli Lilly,Hypertension management,Prescription
Hydrocodone,Anticoagulant,Extended Release Tablet,2mg,Merck,Epilepsy and neuropathic pain,Prescription
Doxycycline,Antidiabetic,Topical Solution,250mg,GlaxoSmithKline,GERD and peptic ulcer disease,Prescription
Escitalopram,Antidepressant/SSRI,Sublingual Tablet,100mcg,Johnson & Johnson,Hypertension and heart failure,Prescription
Furosemide,Calcium Channel Blocker,Liquid,0.25mg,Gilead Sciences,Inflammation and autoimmune disorders,Prescription
Oxycodone,Opioid Analgesic,Nasal Spray,2mg,Sanofi,Edema and hypertension,Prescription
Loratadine,Antacid/PPI,Spray,2%,Reckitt,Constipation relief,Over-the-Counter
Hydrocodone,Corticosteroid,Tablet,250mg,Gilead Sciences,Fungal infections treatment,Prescription
Amoxicillin,Anticonvulsant,Capsule,200mcg,Roche,Heart attack and stroke prevention,Prescription
Amlodipine,Beta Blocker,Inhaler,100mg,GlaxoSmithKline,High cholesterol management,Prescription
Hydrocortisone Cream,Antacid/H2 Blocker,Patch,150mg,Reckitt,Allergic rhinitis and hives,Over-the-Counter
Clindamycin,ARB,Patch,20mg,AstraZeneca,Hypertension and heart failure,Prescription
Magnesium Hydroxide,Antihistamine,Powder,325mg,Reckitt,Minor pain and itching relief,Over-the-Counter
Clopidogrel,Corticosteroid,Patch,50mcg,Johnson & Johnson,GERD and peptic ulcer disease,Prescription
Pantoprazole,Opioid Analgesic,Tablet,2mg,Pfizer,Edema and hypertension,Prescription
Docusate Sodium,Antifungal,Liquid,100mg,Prestige Brands,GERD and peptic ulcer,Over-the-Counter
Ciprofloxacin,ACE Inhibitor,Liquid,50mcg,Merck,Hypertension management,Prescription
Guaifenesin,Antiflatulent,Cream,20mg,Bayer,Fungal skin infections,Over-the-Counter
Bismuth Subsalicylate,Antifungal,Capsule,1%,Novartis,Heartburn and acid reflux,Over-the-Counter
Furosemide,Anticonvulsant,IV Infusion,250mg,Boehringer Ingelheim,Asthma and allergic rhinitis,Prescription
Clindamycin,Beta Blocker,Injection,400mcg,Pfizer,Fungal infections treatment,Prescription
Cetirizine,Topical Antibiotic,Powder,400mg,P&G,Diarrhea treatment,Over-the-Counter
Doxycycline,Statin,Inhaler,10mg,Sanofi,Bacterial infections treatment,Prescription
Miconazole,Cough Suppressant,Lozenge,400mg,Johnson & Johnson,Minor wound infection prevention,Over-the-Counter
Pseudoephedrine,Expectorant,Spray,325mg,GSK,Blood clot prevention,Over-the-Counter
Alprazolam,ACE Inhibitor,Sublingual Tablet,400mcg,AstraZeneca,GERD and peptic ulcer disease,Prescription
Ciprofloxacin,Antibiotic,Nasal Spray,400mcg,Novartis,GERD and peptic ulcer disease,Prescription
Lisinopril,Statin,Patch,0.25mg,Bristol-Myers Squibb,Anxiety and panic disorders,Prescription
Lidocaine Cream,Antacid/H2 Blocker,Spray,5mg,P&G,Fungal skin infections,Over-the-Counter
Pseudoephedrine,Skin Protectant,Patch,5%,3M Healthcare,Pain relief and fever reduction,Over-the-Counter
Dextromethorphan,Topical Anesthetic,Chewable Tablet,100mg,Chattem,Blood clot prevention,Over-the-Counter
Loratadine,Laxative,Spray,5mg,Unilever,Minor wound infection prevention,Over-the-Counter
Dextromethorphan,Expectorant,Patch,1%,Unilever,Chest congestion and mucus relief,Over-the-Counter
Albuterol,Calcium Channel Blocker,Liquid,50mg,Eli Lilly,Blood clot prevention,Prescription
Meclizine,Cough Suppressant,Drops,200mg,Novartis,Minor wound infection prevention,Over-the-Counter
Famotidine,Antacid,Gel,500mg,GSK,Insomnia and sleep aid,Over-the-Counter
Calcium Carbonate,Antifungal,Patch,2%,Reckitt,Diarrhea treatment,Over-the-Counter
Escitalopram,Leukotriene Inhibitor,Inhaler,1mg,Merck,Bacterial infections treatment,Prescription
Naproxen,Topical Corticosteroid,Tablet,50mg,Unilever,Allergic rhinitis and hives,Over-the-Counter
Furosemide,Leukotriene Inhibitor,Nasal Spray,10mg,Roche,Bacterial infections treatment,Prescription
Warfarin,Anticoagulant,Extended Release Tablet,25mg,Boehringer Ingelheim,Fungal infections treatment,Prescription
Hydrocortisone Cream,Decongestant,Tablet,400mg,Unilever,Diarrhea treatment,Over-the-Counter
Azithromycin,Antiplatelet,Inhaler,150mg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Docusate Sodium,Antacid/PPI,Capsule,1%,Bayer,Heartburn and acid reflux,Over-the-Counter
Sertraline,Diuretic,Suppository,200mg,Eli Lilly,Hypertension management,Prescription
Dextromethorphan,Antacid/H2 Blocker,Liquid,10mg,Sanofi,Heartburn and acid reflux,Over-the-Counter
Benzoyl Peroxide,Antihistamine,Lozenge,2%,Unilever,Minor wound infection prevention,Over-the-Counter
Simethicone,Antacid/H2 Blocker,Drops,150mg,Unilever,Minor pain and itching relief,Over-the-Counter
Fluoxetine,ARB,IV Infusion,0.25mg,Eli Lilly,Inflammation and autoimmune disorders,Prescription
Oxycodone,Opioid Analgesic,Extended Release Tablet,200mg,Pfizer,Heart attack and stroke prevention,Prescription
Diphenhydramine,Antiflatulent,Ointment,2%,Bayer,Allergic rhinitis and hives,Over-the-Counter
Loperamide,Acne Treatment,Patch,400mg,Chattem,Diarrhea treatment,Over-the-Counter
Prednisone,Anxiolytic/Benzodiazepine,Injection,400mcg,Gilead Sciences,Asthma and bronchospasm,Prescription
Metronidazole,Diuretic,IV Infusion,25mg,Boehringer Ingelheim,Hypothyroidism treatment,Prescription
Zinc Oxide,Antiplatelet,Lozenge,400mg,Pfizer,Nasal congestion relief,Over-the-Counter
Clotrimazole,Antiflatulent,Capsule,20mg,Sanofi,Heartburn and indigestion,Over-the-Counter
Docusate Sodium,Antiflatulent,Spray,50mg,Unilever,Constipation relief,Over-the-Counter
Clotrimazole,Analgesic,Cream,250mg,Sanofi,Minor cuts and skin protection,Over-the-Counter
Levothyroxine,PPI,Capsule,150mg,Gilead Sciences,Epilepsy and neuropathic pain,Prescription
Prednisone,Antidepressant/SSRI,Liquid,50mg,Eli Lilly,Asthma and bronchospasm,Prescription
Clopidogrel,Thyroid Hormone,Sublingual Tablet,25mg,Amgen,High cholesterol management,Prescription
Meclizine,Antiplatelet,Drops,250mg,GSK,Motion sickness and nausea,Over-the-Counter
